LOINC #,Short Name,Long Common Name,CLASS,Rank
22639-9,Path report.supplemental reports Spec,Pathology report supplemental reports,TUMRRGT,98
20454-5,Prot Ur Ql Strip,Protein [Presence] in Urine by Test strip,UA,99
13945-1,RBC #/area UrnS HPF,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,UA,100
738-5,Macrocytes Bld Ql Smear,Macrocytes [Presence] in Blood by Light microscopy,HEM/BC,101
2514-8,Ketones Ur Ql Strip,Ketones [Presence] in Urine by Test strip,Chem,102
741-9,Microcytes Bld Ql Smear,Microcytes [Presence] in Blood by Light microscopy,HEM/BC,103
19146-0,Ref Lab Test Results,Reference lab test results,MISC,104
3016-3,TSH SerPl-aCnc,Thyrotropin [Units/volume] in Serum or Plasma,Chem,105
6298-4,Potassium Bld-sCnc,Potassium [Moles/volume] in Blood,Chem,106
34927-4,Urobilinogen Ur-mCnc,Urobilinogen [Moles/volume] in Urine,Chem,107
19764-0,Stat of Adq Cvx/Vag Cyto-Imp,Statement of adequacy [interpretation] of Cervical or vaginal smear or scraping by Cyto stain,CYTO,108
19767-3,Cytologist Cvx/Vag Cyto,Cytologist who read Cyto stain of Cervical or vaginal smear or scraping,CYTO,109
19763-2,Specimen source Cvx/Vag Cyto,Specimen source [Identifier] in Cervical or vaginal smear or scraping by Cyto stain,CYTO,110
13969-1,CK MB SerPl-mCnc,Creatine kinase.MB [Mass/volume] in Serum or Plasma,Chem,111
18314-5,Morphology Bld-Imp,Morphology [interpretation] in Blood Narrative,HEM/BC,112
10839-9,Troponin I SerPl-mCnc,Troponin I.cardiac [Mass/volume] in Serum or Plasma,Chem,113
19773-1,Recom F/U Cvx/Vag Cyto,Recommended follow-up [Identifier] in Cervical or vaginal smear or scraping by Cyto stain,CYTO,114
19769-9,Pathologist Cvx/Vag Cyto,Pathologist who read Cyto stain of Cervical or vaginal smear or scraping,CYTO,115
2349-9,Glucose Ur Ql,Glucose [Presence] in Urine,Chem,116
34928-2,Urobilinogen Ur Strip-mCnc,Urobilinogen [Moles/volume] in Urine by Test strip,UA,117
33037-3,Anion Gap SerPl-sCnc,Anion gap in Serum or Plasma,Chem,118
728-6,Hypochromia Bld Ql Smear,Hypochromia [Presence] in Blood by Light microscopy,HEM/BC,119
1959-6,HCO3 Bld-sCnc,Bicarbonate [Moles/volume] in Blood,Chem,120
26444-0,Basophils # Bld,Basophils [#/volume] in Blood,HEM/BC,121
2965-2,Sp Gr Ur,Specific gravity of Urine,Chem,122
23658-8,Other Antibiotic Susc Islt,Other Antibiotic [Susceptibility],ABXBACT,123
2857-1,PSA SerPl-mCnc,Prostate specific Ag [Mass/volume] in Serum or Plasma,Chem,124
14630-8,Bilirub Indirect SerPl-mCnc,Bilirubin.indirect [Moles/volume] in Serum or Plasma,Chem,125
20409-9,RBC # Ur Strip,Erythrocytes [#/volume] in Urine by Test strip,UA,126
14635-7,25(OH)D3 SerPl-mCnc,Calcidiol [Moles/volume] in Serum or Plasma,Chem,127
8247-9,Mucous Threads UrnS Ql Micro,Mucus [Presence] in Urine sediment by Light microscopy,UA,128
2947-0,Sodium Bld-sCnc,Sodium [Moles/volume] in Blood,Chem,129
1994-3,Ca-I Bld-sCnc,Calcium.ionized [Moles/volume] in Blood,Chem,130
600-7,Bacteria Bld Cult,Bacteria identified in Blood by Culture,MICRO,131
6742-1,RBC morph Bld,Erythrocyte morphology finding [Identifier] in Blood,HEM/BC,132
14920-3,T4 Free SerPl-mCnc,Thyroxine (T4) free [Moles/volume] in Serum or Plasma,Chem,133
5818-0,Urobilinogen Ur Ql Strip,Urobilinogen [Presence] in Urine by Test strip,Chem,134
44915-7,LDLc/HDLc SerPl-mRto,Cholesterol in LDL/Cholesterol in HDL [Molar ratio] in Serum or Plasma,Chem,135
764-1,Neuts Band NFr Bld Manual,Neutrophils.band form/100 leukocytes in Blood by Manual count,HEM/BC,136
4537-7,ESR Bld Qn Westrgrn,Erythrocyte sedimentation rate by Westergren method,HEM/BC,137
8310-5,Body temperature,Body temperature,BDYTMP.ATOM,138
3040-3,Lipase SerPl-cCnc,Lipase [Enzymatic activity/volume] in Serum or Plasma,Chem,139
14798-3,Iron SerPl-mCnc,Iron [Moles/volume] in Serum or Plasma,Chem,140
9317-9,Platelet Bld Ql Smear,Platelets [Presence] in Blood by Light microscopy,HEM/BC,141
14933-6,Urate SerPl-mCnc,Urate [Moles/volume] in Serum or Plasma,Chem,142
20565-8,CO2 Bld-sCnc,"Carbon dioxide, total [Moles/volume] in Blood",Chem,143
925-8,Bld Prod Disposition BPU,Blood product disposition [Type],BLDBK,144
14921-1,T4 SerPl-mCnc,Thyroxine (T4) [Moles/volume] in Serum or Plasma,Chem,145
13317-3,MRSA XXX Ql Cult,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture,MICRO,146
14979-9,aPTT Time PPP,Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay,COAG,147
11277-1,Squamous #/area UrnS HPF,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field,UA,148
32623-1,PMV Bld Auto,Platelet mean volume [Entitic volume] in Blood by Automated count,HEM/BC,149
14685-2,Vit B12 Ser-mCnc,Cobalamin (Vitamin B12) [Moles/volume] in Serum or Plasma,Chem,150
20453-7,Epi Cells UrnS Ql Micro,Epithelial cells [Presence] in Urine sediment by Light microscopy,UA,151
1798-8,Amylase SerPl-cCnc,Amylase [Enzymatic activity/volume] in Serum or Plasma,Chem,152
2276-4,Ferritin SerPl-mCnc,Ferritin [Mass/volume] in Serum or Plasma,Chem,153
1988-5,CRP SerPl-mCnc,C reactive protein [Mass/volume] in Serum or Plasma,Chem,154
5808-1,RBC # UrnS HPF,Erythrocytes [#/volume] in Urine sediment by Microscopy high power field,UA,155
2532-0,LDH SerPl-cCnc,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,Chem,156
14800-7,TIBC SerPl-mCnc,Iron binding capacity [Moles/volume] in Serum or Plasma,Chem,157
5782-8,Crystals UrnS Micro,Crystals [type] in Urine sediment by Light microscopy,UA,158
21000-5,RDW RBC Auto,Erythrocyte distribution width [Entitic volume] by Automated count,HEM/BC,159
2753-2,pH SerPl,pH of Serum or Plasma,Chem,160
14683-7,Creat Ur-mCnc,Creatinine [Moles/volume] in Urine,Chem,161
20408-1,WBC # Ur Strip,Leukocytes [#/volume] in Urine by Test strip,UA,162
27045-4,Microscopic Ur-Imp,Microscopic exam [interpretation] of Urine by Cytology,CYTO,163
31100-1,Hct VFr Bld Imped,Hematocrit [Volume Fraction] of Blood by Impedance,HEM/BC,164
11580-8,TSH SerPl DL<=0.005 mIU/L-aCnc,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,Chem,165
5787-7,Epi Cells #/area UrnS HPF,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,UA,166
735-1,Variant Lymphs NFr Bld Manual,Lymphocytes Variant/100 leukocytes in Blood by Manual count,HEM/BC,167
934-0,BPU ID,Blood product unit ID [#],BLDBK,168
882-1,ABO+Rh Gp Bld,ABO & Rh group [Type] in Blood,BLDBK,169
19161-9,Urobilinogen Ur Strip-aCnc,Urobilinogen [Units/volume] in Urine by Test strip,UA,170
70199-5,Bilirub Ur-mCnc,Bilirubin.total [Moles/volume] in Urine,Chem,171
30167-1,HPV I/H Risk 1 DNA Cervix Ql bDNA,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA [Presence] in Cervix by Probe & signal amplification method,MICRO,172
20507-0,RPR Ser Ql,Reagin Ab [Presence] in Serum by RPR,MICRO,173
3151-8,Inhaled O2 flow rate,Inhaled oxygen flow rate,CLIN,174
14957-5,Microalbumin Ur-mCnc,Microalbumin [Mass/volume] in Urine,Chem,175
58448-2,Microalbumin ug/min 24H Ur-mRate,Microalbumin ug/min [Mass/time] in 24 hour Urine,Chem,176
26508-2,Neuts Band NFr Bld,Neutrophils.band form/100 leukocytes in Blood,HEM/BC,177
24111-7,N gonorrhoea DNA XXX Ql PCR,Neisseria gonorrhoeae DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,178
11279-7,UrnS Cmnt Micro,Urine sediment comments by Light microscopy Narrative,UA,179
21613-5,C trach DNA XXX Ql PCR,Chlamydia trachomatis DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,180
14732-2,Folate SerPl-mCnc,Folate [Moles/volume] in Serum or Plasma,Chem,181
1995-0,Ca-I SerPl-sCnc,Calcium.ionized [Moles/volume] in Serum or Plasma,Chem,182
11282-1,Total Cells Counted Bld,Cells Counted Total [#] in Blood,HEM/BC,183
2106-3,HCG Preg Ur Ql,Choriogonadotropin (pregnancy test) [Presence] in Urine,Chem,184
933-2,Bld Prod Typ BPU,Blood product type,BLDBK,185
737-7,Lymphocytes NFr Bld Manual,Lymphocytes/100 leukocytes in Blood by Manual count,HEM/BC,186
2744-1,pH BldA,pH of Arterial blood,Chem,187
30313-1,Hgb BldA-mCnc,Hemoglobin [Mass/volume] in Arterial blood,HEM/BC,188
10378-8,Polychromasia Bld Ql Smear,Polychromasia [Presence] in Blood by Light microscopy,HEM/BC,189
2324-2,GGT SerPl-cCnc,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,Chem,190
25162-9,Hyaline Casts UrnS Ql Micro,Hyaline casts [Presence] in Urine sediment by Light microscopy,UA,191
14801-5,Iron Satn MFr SerPl,Iron saturation [Molar fraction] in Serum or Plasma,Chem,192
2703-7,pO2 BldA,Oxygen [Partial pressure] in Arterial blood,Chem,193
664-3,Gram Stn XXX,Microscopic observation [Identifier] in Unspecified specimen by Gram stain,MICRO,194
3879-4,Opiates Ur Ql,Opiates [Presence] in Urine,DRUG/TOX,195
3390-2,Benzodiaz Ur Ql,Benzodiazepines [Presence] in Urine,DRUG/TOX,196
53553-4,Est. average glucose Bld gHb Est-mCnc,Glucose mean value [Moles/volume] in Blood Estimated from glycated hemoglobin,Chem,197
890-4,Bld gp Ab Scn SerPl Ql,Blood group antibody screen [Presence] in Serum or Plasma,BLDBK,198
26507-4,Neuts Band # Bld,Neutrophils.band form [#/volume] in Blood,HEM/BC,199
3050-2,T3RU NFr SerPl,Triiodothyronine resin uptake (T3RU) in Serum or Plasma,Chem,200
30405-5,WBC # Ur,Leukocytes [#/volume] in Urine,HEM/BC,201
48345-3,HIV 1+O+2 Ab SerPl Ql,HIV 1+O+2 Ab [Presence] in Serum or Plasma,MICRO,202
14913-8,Testost SerPl-mCnc,Testosterone [Moles/volume] in Serum or Plasma,Chem,203
30934-4,BNP SerPl-mCnc,Natriuretic peptide B [Mass/volume] in Serum or Plasma,Chem,204
2019-8,pCO2 BldA,Carbon dioxide [Partial pressure] in Arterial blood,Chem,205
34714-6,INR Bld,INR in Blood by Coagulation assay,COAG,206
3377-9,Barbiturates Ur Ql,Barbiturates [Presence] in Urine,DRUG/TOX,207
8061-4,ANA Ser Ql,Nuclear Ab [Presence] in Serum,SERO,208
11529-5,,Surgical pathology study,ATTACH.CLINRPT,209
5196-1,HBV surface Ag Ser Ql EIA,Hepatitis B virus surface Ag [Presence] in Serum by Immunoassay,MICRO,210
49136-5,CK MB SerPl-Rto,Creatine kinase.MB/Creatine kinase.total [Ratio] in Serum or Plasma,Chem,211
14959-1,Microalbumin/Creat Ur-mRto,Microalbumin/Creatinine [Mass ratio] in Urine,Chem,212
48346-1,HIV 1+O+2 Ab SerPl-aCnc,HIV 1+O+2 Ab [Units/volume] in Serum or Plasma,MICRO,213
3349-8,Amphetamines Ur Ql,Amphetamines [Presence] in Urine,DRUG/TOX,214
17856-6,Hgb A1c MFr Bld HPLC,Hemoglobin A1c/Hemoglobin.total in Blood by HPLC,HEM/BC,215
11253-2,Tacrolimus Bld-mCnc,Tacrolimus [Mass/volume] in Blood,DRUG/TOX,216
33903-6,Ketones Ur Ql,Ketones [Presence] in Urine,Chem,217
883-9,ABO Group Bld,ABO group [Type] in Blood,BLDBK,218
25371-6,VLDLc SerPl-mCnc,Cholesterol in VLDL [Moles/volume] in Serum or Plasma,Chem,219
2458-8,IgA Ser-mCnc,IgA [Mass/volume] in Serum,Chem,220
22753-8,UIBC SerPl-mCnc,Iron binding capacity.unsaturated [Moles/volume] in Serum or Plasma,Chem,221
32215-6,FTI SerPl-aCnc,Thyroxine (T4) free index in Serum or Plasma,Chem,222
14930-2,T3 SerPl-mCnc,Triiodothyronine (T3) [Moles/volume] in Serum or Plasma,Chem,223
18282-4,Cannabinoids Ur Ql Scn,Cannabinoids [Presence] in Urine by Screen method,DRUG/TOX,224
744-3,Monocytes NFr Bld Manual,Monocytes/100 leukocytes in Blood by Manual count,HEM/BC,225
5195-3,HBV surface Ag Ser Ql,Hepatitis B virus surface Ag [Presence] in Serum,MICRO,226
1003-3,IAT Comp-Sp Reag SerPl Ql,Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,BLDBK,227
769-0,Neuts Seg NFr Bld Manual,Neutrophils.segmented/100 leukocytes in Blood by Manual count,HEM/BC,228
714-6,Eosinophil NFr Bld Manual,Eosinophils/100 leukocytes in Blood by Manual count,HEM/BC,229
15067-2,FSH SerPl-aCnc,Follitropin [Units/volume] in Serum or Plasma,Chem,230
14715-7,Estradiol SerPl-mCnc,Estradiol (E2) [Moles/volume] in Serum or Plasma,Chem,231
53927-0,N gonorrhoea rRNA Urth Ql PCR,Neisseria gonorrhoeae rRNA [Presence] in Urethra by Probe & target amplification method,MICRO,232
60256-5,N gonorrhoea rRNA Ur Ql PCR,Neisseria gonorrhoeae rRNA [Presence] in Urine by Probe & target amplification method,MICRO,233
702-1,Anisocytosis Bld Ql Smear,Anisocytosis [Presence] in Blood by Light microscopy,HEM/BC,234
707-0,Basophils NFr Bld Manual,Basophils/100 leukocytes in Blood by Manual count,HEM/BC,235
19145-2,Ref Lab Test Name,Reference lab test name,MISC,236
29265-6,Calcium Album cor SerPl-sCnc,Calcium [Moles/volume] corrected for albumin in Serum or Plasma,Chem,237
5796-8,Hyaline Casts #/area UrnS LPF,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,UA,238
5198-7,HCV Ab Ser EIA-aCnc,Hepatitis C virus Ab [Units/volume] in Serum by Immunoassay,MICRO,239
14866-8,PTH-Intact SerPl-sCnc,Parathyrin.intact [Moles/volume] in Serum or Plasma,Chem,240
2731-8,PTH-Intact SerPl-mCnc,Parathyrin.intact [Mass/volume] in Serum or Plasma,Chem,240
2465-3,IgG Ser-mCnc,IgG [Mass/volume] in Serum,Chem,241
53925-4,C trach rRNA Urth Ql PCR,Chlamydia trachomatis rRNA [Presence] in Urethra by Probe & target amplification method,MICRO,242
774-0,Ovalocytes Bld Ql Smear,Ovalocytes [Presence] in Blood by Light microscopy,HEM/BC,243
12454-5,Amorph Urate Cry UrnS Ql Micro,Urate crystals amorphous [Presence] in Urine sediment by Light microscopy,UA,244
30341-2,ESR Bld Qn,Erythrocyte sedimentation rate,HEM/BC,245
798-9,RBC # Ur Auto,Erythrocytes [#/volume] in Urine by Automated count,HEM/BC,246
1250-0,Maj XM SerPl-Imp,Major crossmatch [interpretation],BLDBK,247
22634-0,Path report.gross Spec,Pathology report gross observation,TUMRRGT,248
69419-0,LDLc SerPl Direct Assay-mCnc,Cholesterol in LDL [Moles/volume] in Serum or Plasma by Direct assay,Chem,249
56598-6,EBV EA IgM Ser EIA-aCnc,Epstein Barr virus early IgM Ab [Units/volume] in Serum by Immunoassay,MICRO,250
11572-5,Rheumatoid fact Ser-aCnc,Rheumatoid factor [Units/volume] in Serum,SERO,251
19080-1,HCG SerPl-aCnc,Choriogonadotropin [Units/volume] in Serum or Plasma,Chem,252
18998-5,TMP SMX Susc Islt,Trimethoprim+Sulfamethoxazole [Susceptibility],ABXBACT,253
43304-5,C trach rRNA XXX Ql PCR,Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,254
10331-7,Rh Bld,Rh [Type] in Blood,BLDBK,255
43305-2,N gonorrhoea rRNA XXX Ql PCR,Neisseria gonorrhoeae rRNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,256
10701-1,O+P Stl Conc,Ova+Parasites identified in Stool by Concentration,MICRO,257
13362-9,Collect duration Time Ur,Collection duration of Urine,SPEC,258
11125-2,Plat morph Bld,Platelet morphology finding [Identifier] in Blood,HEM/BC,259
15180-3,Hypochromia Bld Ql Auto,Hypochromia [Presence] in Blood by Automated count,HEM/BC,260
12258-0,Squamous UrnS Ql HPF,Epithelial cells.squamous [Presence] in Urine sediment by Microscopy high power field,UA,261
22633-2,Path report.site of origin Spec,Pathology report site of origin,TUMRRGT,262
2472-9,IgM Ser-mCnc,IgM [Mass/volume] in Serum,Chem,263
31208-2,Specimen source XXX,Specimen source [Identifier] of Unspecified specimen,SPEC,264
18928-2,Gentamicin Susc Islt,Gentamicin [Susceptibility],ABXBACT,265
14807-2,Lead Bld-mCnc,Lead [Moles/volume] in Blood,DRUG/TOX,266
3255-7,Fibrinogen PPP-mCnc,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,COAG,267
3184-9,ACT Time Bld,Activated clotting time in Blood by Coagulation assay,COAG,268
19139-5,Pathologist name,Pathologist name,CLIN,269
6462-6,Bacteria Wnd Cult,Bacteria identified in Wound by Culture,MICRO,270
10501-5,LH SerPl-aCnc,Lutropin [Units/volume] in Serum or Plasma,Chem,271
19244-3,Character Ur,Character of Urine,SPEC,272
19659-2,PCP Ur Ql Scn,Phencyclidine [Presence] in Urine by Screen method,DRUG/TOX,273
14928-6,T3Free SerPl-mCnc,Triiodothyronine (T3) Free [Moles/volume] in Serum or Plasma,Chem,274
624-7,Bacteria Spt Resp Cult,Bacteria identified in Sputum by Respiratory culture,MICRO,275
634-6,Bacteria XXX Aerobe Cult,Bacteria identified in Unspecified specimen by Aerobe culture,MICRO,276
50387-0,C trach rRNA Cvx Ql PCR,Chlamydia trachomatis rRNA [Presence] in Cervix by Probe & target amplification method,MICRO,277
50388-8,N gonorrhoea rRNA Cvx Ql PCR,Neisseria gonorrhoeae rRNA [Presence] in Cervix by Probe & target amplification method,MICRO,278
35691-5,Other microorganism DNA XXX Ql PCR,XXX microorganism DNA [Presence] in Unspecified specimen by Probe & target amplification method,MICRO,279
